src_ip,dest_ip,port,sessions,weight
10.0.45.10,10.0.45.5,22,1834,1
10.0.45.10,10.0.45.5,3389,419,10
10.0.45.10,192.168.50.10,53,4516,1
10.0.45.10,192.168.50.11,123,4022,1
10.0.45.10,192.168.50.12,88,3667,1
10.0.45.10,192.168.50.12,389,2296,1
10.0.45.10,192.168.50.12,445,1689,1
10.0.45.10,10.20.30.10,80,8945,1
10.0.45.10,10.20.30.10,443,1434,1
10.0.45.11,10.0.45.5,22,6922,1
10.0.45.11,10.0.45.5,3389,530,10
10.0.45.11,192.168.50.10,53,498,1
10.0.45.11,192.168.50.11,123,1545,1
10.0.45.11,192.168.50.12,88,3592,1
10.0.45.11,192.168.50.12,389,3821,1
10.0.45.11,192.168.50.12,445,8289,1
10.0.45.11,10.20.30.10,80,444,1
10.0.45.11,10.20.30.10,443,3267,1
10.0.45.12,10.0.45.5,22,8938,1
10.0.45.12,10.0.45.5,3389,6883,10
10.0.45.12,192.168.50.10,53,3621,1
10.0.45.12,192.168.50.11,123,7369,1
10.0.45.12,192.168.50.12,88,4567,1
10.0.45.12,192.168.50.12,389,116,1
10.0.45.12,192.168.50.12,445,2625,1
10.0.45.12,10.20.30.10,80,6934,1
10.0.45.12,10.20.30.10,443,5584,1
10.0.45.13,10.0.45.5,22,4562,1
10.0.45.13,10.0.45.5,3389,2557,10
10.0.45.13,192.168.50.10,53,3537,1
10.0.45.13,192.168.50.11,123,5524,1
10.0.45.13,192.168.50.12,88,1684,1
10.0.45.13,192.168.50.12,389,1529,1
10.0.45.13,192.168.50.12,445,6234,1
10.0.45.13,10.20.30.10,80,1594,1
10.0.45.13,10.20.30.10,443,5891,1
10.0.45.14,10.0.45.5,22,5645,1
10.0.45.14,10.0.45.5,3389,4343,10
10.0.45.14,192.168.50.10,53,721,1
10.0.45.14,192.168.50.11,123,7537,1
10.0.45.14,192.168.50.12,88,8795,1
10.0.45.14,192.168.50.12,389,2055,1
10.0.45.14,192.168.50.12,445,6211,1
10.0.45.14,10.20.30.10,80,1301,1
10.0.45.14,10.20.30.10,443,4813,1
10.0.45.15,10.0.45.5,22,5935,1
10.0.45.15,10.0.45.5,3389,3160,10
10.0.45.15,192.168.50.10,53,1149,1
10.0.45.15,192.168.50.11,123,760,1
10.0.45.15,192.168.50.12,88,3743,1
10.0.45.15,192.168.50.12,389,4751,1
10.0.45.15,192.168.50.12,445,1317,1
10.0.45.15,10.20.30.10,80,3824,1
10.0.45.15,10.20.30.10,443,1664,1
10.0.45.11,172.16.8.10,22,6237,1
10.0.45.5,10.20.30.10,80,4564,1
10.0.45.5,10.20.30.10,443,7438,1
10.0.45.5,10.20.30.10,8080,5987,10
10.0.45.5,10.20.30.11,22,2674,1
10.0.45.5,10.20.30.11,8080,6075,10
10.0.45.5,10.20.30.11,8443,5830,10
10.0.45.5,10.20.30.12,22,3442,1
10.0.45.5,10.20.30.12,8080,4384,10
10.0.45.5,10.0.45.6,22,1179,1
10.0.45.6,172.16.8.10,22,2813,1
172.16.8.10,10.20.30.11,22,8761,1
172.16.8.10,10.20.30.11,3389,4020,10
172.16.8.10,10.20.30.12,22,2687,1
172.16.8.10,10.20.30.12,3389,7583,10
172.16.8.10,192.168.10.13,22,6226,1
10.0.45.6,10.20.30.11,22,4432,1
10.0.45.6,10.20.30.11,3389,3608,10
10.20.30.10,192.168.10.12,3306,5323,10
10.20.30.10,192.168.10.10,1433,926,10
10.20.30.11,192.168.10.10,1433,3762,10
10.20.30.11,192.168.10.11,1521,535,10
10.20.30.11,192.168.10.12,3306,5178,10
10.20.30.11,192.168.10.14,445,6582,1
10.20.30.11,192.168.10.15,873,4396,1
10.20.30.11,10.20.30.12,49152,1094,10
10.20.30.11,10.20.30.12,49153,3466,10
10.20.30.12,192.168.10.11,1521,5165,10
10.20.30.12,192.168.10.13,22,3493,1
10.20.30.12,192.168.10.13,873,8189,1
10.20.30.30,192.168.10.11,1521,6492,10
10.20.30.30,192.168.50.12,88,7527,1
10.20.30.30,192.168.50.12,389,2350,1
192.168.10.10,192.168.50.11,123,4349,1
192.168.10.11,192.168.50.10,53,2297,1
192.168.10.12,192.168.50.11,123,4050,1
192.168.10.13,192.168.50.10,53,8840,1
192.168.10.15,192.168.50.11,123,4314,1
